act: Down  | ter: False | rew: 1  | pos:  0.689 | vel: -4.057
act: Up    | ter: False | rew: -1 | pos:  0.386 | vel: -1.991
act: Up    | ter: False | rew: -1 | pos:  0.304 | vel:  0.385
act: Down  | ter: False | rew: -1 | pos:  0.228 | vel: -1.925
act: Up    | ter: False | rew: -1 | pos:  0.132 | vel:  0.023
act: Down  | ter: False | rew: -1 | pos:  0.020 | vel: -2.279
act: Up    | ter: False | rew: -1 | pos: -0.108 | vel: -0.275
act: Up    | ter: False | rew: -1 | pos: -0.024 | vel:  1.981
act: Up    | ter: False | rew: -1 | pos:  0.276 | vel:  4.040
act: Idle  | ter: False | rew: 1  | pos:  0.621 | vel:  2.853
act: Down  | ter: False | rew: 2  | pos:  0.761 | vel: -0.080
act: Up    | ter: False | rew: 2  | pos:  0.835 | vel:  1.577
act: Down  | ter: False | rew: 2  | pos:  0.867 | vel: -0.971
act: Up    | ter: False | rew: 2  | pos:  0.857 | vel:  0.798
act: Down  | ter: False | rew: 2  | pos:  0.815 | vel: -1.667
act: Up    | ter: False | rew: 1  | pos:  0.740 | vel:  0.182
act: Down  | ter: False | rew: 1  | pos:  0.640 | vel: -2.205
act: Up    | ter: False | rew: 1  | pos:  0.515 | vel: -0.279
act: Idle  | ter: False | rew: -1 | pos:  0.447 | vel: -1.093
act: Up    | ter: False | rew: -1 | pos:  0.436 | vel:  0.904
act: Down  | ter: False | rew: -1 | pos:  0.407 | vel: -1.507
act: Up    | ter: False | rew: -1 | pos:  0.350 | vel:  0.374
act: Down  | ter: False | rew: -1 | pos:  0.270 | vel: -1.990
act: Up    | ter: False | rew: -1 | pos:  0.167 | vel: -0.045
act: Up    | ter: False | rew: -1 | pos:  0.272 | vel:  2.156
act: Down  | ter: False | rew: -1 | pos:  0.364 | vel: -0.337
act: Up    | ter: False | rew: -1 | pos:  0.418 | vel:  1.428
act: Down  | ter: False | rew: -1 | pos:  0.438 | vel: -1.054
act: Up    | ter: False | rew: -1 | pos:  0.423 | vel:  0.774
act: Down  | ter: False | rew: -1 | pos:  0.381 | vel: -1.641
act: Up    | ter: False | rew: -1 | pos:  0.310 | vel:  0.255
act: Down  | ter: False | rew: -1 | pos:  0.220 | vel: -2.092
act: Down  | ter: False | rew: -1 | pos: -0.115 | vel: -4.631
act: Up    | ter: False | rew: -1 | pos: -0.469 | vel: -2.414
act: Up    | ter: False | rew: -1 | pos: -0.585 | vel:  0.103
