act: Up    | ter: False | rew: 4  | pos:  2.624 | vel:  0.181
act: Down  | ter: False | rew: 4  | pos:  2.513 | vel: -2.423
act: Up    | ter: False | rew: 2  | pos:  2.357 | vel: -0.686
act: Up    | ter: False | rew: 4  | pos:  2.388 | vel:  1.337
act: Down  | ter: False | rew: 4  | pos:  2.391 | vel: -1.308
act: Up    | ter: False | rew: 2  | pos:  2.341 | vel:  0.332
act: Down  | ter: False | rew: 1  | pos:  2.247 | vel: -2.251
act: Up    | ter: False | rew: 1  | pos:  2.108 | vel: -0.501
act: Up    | ter: False | rew: 1  | pos:  2.159 | vel:  1.530
act: Down  | ter: False | rew: 1  | pos:  2.181 | vel: -1.109
act: Up    | ter: False | rew: 1  | pos:  2.151 | vel:  0.533
act: Up    | ter: False | rew: 2  | pos:  2.299 | vel:  2.451
act: Down  | ter: False | rew: 4  | pos:  2.408 | vel: -0.302
act: Up    | ter: False | rew: 4  | pos:  2.454 | vel:  1.230
act: Down  | ter: False | rew: 4  | pos:  2.444 | vel: -1.460
act: Up    | ter: False | rew: 4  | pos:  2.379 | vel:  0.184
act: Up    | ter: False | rew: 4  | pos:  2.493 | vel:  2.112
act: Down  | ter: False | rew: 4  | pos:  2.569 | vel: -0.626
act: Up    | ter: False | rew: 4  | pos:  2.583 | vel:  0.922
act: Down  | ter: False | rew: 4  | pos:  2.543 | vel: -1.750
act: Up    | ter: False | rew: 4  | pos:  2.450 | vel: -0.086
act: Up    | ter: False | rew: 4  | pos:  2.538 | vel:  1.862
act: Idle  | ter: False | rew: 2  | pos:  2.664 | vel:  0.645
act: Idle  | ter: False | rew: 2  | pos:  2.658 | vel: -0.785
act: Up    | ter: False | rew: 2  | pos:  2.662 | vel:  0.900
act: Down  | ter: False | rew: 4  | pos:  2.621 | vel: -1.765
act: Up    | ter: False | rew: 4  | pos:  2.526 | vel: -0.106
act: Up    | ter: False | rew: 4  | pos:  2.612 | vel:  1.836
act: Down  | ter: False | rew: 2  | pos:  2.660 | vel: -0.886
act: Up    | ter: False | rew: 2  | pos:  2.649 | vel:  0.678
act: Down  | ter: False | rew: 4  | pos:  2.586 | vel: -1.975
act: Up    | ter: False | rew: 4  | pos:  2.472 | vel: -0.293
act: Up    | ter: False | rew: 4  | pos:  2.540 | vel:  1.675
act: Down  | ter: False | rew: 4  | pos:  2.574 | vel: -1.022
act: Up    | ter: False | rew: 4  | pos:  2.550 | vel:  0.567
act: Down  | ter: False | rew: 4  | pos:  2.477 | vel: -2.064
act: Up    | ter: False | rew: 2  | pos:  2.355 | vel: -0.360
act: Up    | ter: False | rew: 4  | pos:  2.417 | vel:  1.629
act: Down  | ter: False | rew: 4  | pos:  2.447 | vel: -1.050
act: Up    | ter: False | rew: 4  | pos:  2.422 | vel:  0.556
